destSlug,fieldPath,oldUrl,newUrl,confidence,provider,dryRun,appliedAt
kanatal,topPlaces[10].photos[2],https://images.pexels.com/photos/36908061/pexels-photo-36908061.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36908061/pexels-photo-36908061.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:18:03.375Z
kanatal,topPlaces[11].image,https://images.pexels.com/photos/18607500/pexels-photo-18607500.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1653545709914-cbb1b2748e13?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8QXBwbGUlMjBPcmNoYXJkJTIwV2FsayUyMFV0dGFyYWtoYW5kJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDM4OHww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:05.498Z
kanatal,topPlaces[11].photos[1],https://images.pexels.com/photos/5528999/pexels-photo-5528999.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1723126617455-f59f8a277995?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8QXBwbGUlMjBPcmNoYXJkJTIwV2FsayUyMFV0dGFyYWtoYW5kJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDM4OHww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:05.520Z
kanatal,topPlaces[11].photos[2],https://images.pexels.com/photos/28589186/pexels-photo-28589186.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1724347360302-6130237ca75b?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8QXBwbGUlMjBPcmNoYXJkJTIwV2FsayUyMFV0dGFyYWtoYW5kJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDM4OHww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:05.544Z
manali,gallery[1],https://images.pexels.com/photos/29494184/pexels-photo-29494184.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1597167231350-d057a45dc868?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8TWFuYWxpJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWElMjB0cmF2ZWx8ZW58MHwwfHx8MTc4NzA3NDQzNnww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:06.586Z
manali,gallery[5],https://images.pexels.com/photos/38884319/pexels-photo-38884319.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1706696435436-200ba23cda35?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8TWFuYWxpJTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWElMjB0cmF2ZWx8ZW58MHwwfHx8MTc4NzA3NDQzNnww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:06.622Z
manali,topPlaces[0].image,https://images.pexels.com/photos/18731332/pexels-photo-18731332.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1651955670895-9aa2e9243b66?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8Um9odGFuZyUyMFBhc3MlMjBIaW1hY2hhbCUyMFByYWRlc2glMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0NDQxfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:08.656Z
manali,topPlaces[0].photos[1],https://images.pexels.com/photos/39003887/pexels-photo-39003887.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1660645056288-d8b288963c6c?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8Um9odGFuZyUyMFBhc3MlMjBIaW1hY2hhbCUyMFByYWRlc2glMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0NDQxfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:08.679Z
manali,topPlaces[0].photos[2],https://images.pexels.com/photos/37078220/pexels-photo-37078220.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1660308421609-02df8b6c892f?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8Um9odGFuZyUyMFBhc3MlMjBIaW1hY2hhbCUyMFByYWRlc2glMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0NDQxfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:08.703Z
manali,topPlaces[1].photos[0],https://images.pexels.com/photos/5205541/pexels-photo-5205541.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1713063968789-adf139c4a1eb?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8U29sYW5nJTIwVmFsbGV5JTIwSGltYWNoYWwlMjBQcmFkZXNoJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDQ0NXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:10.379Z
